Marca temporal,¿Por qué has elegido la asignatura?,Conocimientos previos,"Los conocimientos que mencionas en las respuestas anteriores, ¿los has adquirido principalmente por tu cuenta o en prácticas (curriculares o no) o en alguna otra asignatura?",¿Qué esperas aprender en la asignatura?
5/09/2022 14:57:46,"Profesor, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Python, Herramientas de construcción: make, grunt, webpack, sbt, Microservicios/microframeworks REST, Desarrollo ágil",Por mi cuenta o en prácticas,"Quiero mejorar mis conocimientos en git, github y desarrollo basado en test además de conocer bien las herramientas de integración continua/despliegue"
12/09/2022 18:05:50,"Profesor, Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Python",Por mi cuenta o en prácticas,Adquirir una buena base sobre todo el tema de desarrollo y despliegue y lograr darle forma y sentido a una idea de negocio
14/09/2022 10:25:21,Temática,"git y github, Python, Ruby",En otras asignaturas,Virtualización y conocimientos que me sean útiles a la hora de trabajar
14/09/2022 17:35:19,"No la he elegido, es obligatoria","Javascript/Node.js/TypeScript/Deno, Python, Ruby, Microservicios/microframeworks REST",En otras asignaturas,No tengo una idea muy clara de lo que voy a aprender de la misma pero tengo ganas de descubrirlo
14/09/2022 19:06:27,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Ruby, Herramientas de construcción: make, grunt, webpack, sbt",Por mi cuenta o en prácticas,Cómo manejar contenedores tipo Docker y despliegues en la nube
14/09/2022 19:23:49,"No la he elegido, es obligatoria","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node.js/TypeScript/Deno, Uso de PaaS, tales como Heroku o Azure WebApps, Python, Herramientas de despliegue: flightplan, fabric o similares, Microservicios/microframeworks REST",Por mi cuenta o en prácticas,Espero ver cómo se desarrolla un proyecto desde la idea inicial hasta que se termina de desarrollar con sus pasos intermedios.
14/09/2022 19:29:13,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node.js/TypeScript/Deno, Uso de PaaS, tales como Heroku o Azure WebApps, Python, Herramientas de construcción: make, grunt, webpack, sbt, Microservicios/microframeworks REST, Herramientas de integración continua/despliegue continuo, Desarrollo ágil",Por mi cuenta o en prácticas,"Creo que definir el proyecto correctamente será lo más difícil, uno que satisfaga las necesidades de la asignatura.

Me gustaría practicar más las habilidades que se dan y aprobarla sin mucho esfuerzo."
14/09/2022 21:38:43,"No la he elegido, es obligatoria, Horario, Amigos o conocidos la han elegido",Ruby,En otras asignaturas,Espero aprender conceptos sobre la virtualización de hardware y software
15/09/2022 8:17:38,"Amigos o conocidos la han elegido, Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node.js/TypeScript/Deno, Python, Ruby, Herramientas de construcción: make, grunt, webpack, sbt, Microservicios/microframeworks REST, Herramientas de integración continua/despliegue continuo, Desarrollo ágil",Por mi cuenta o en prácticas,Desarrollar un proyecto que pueda tener utilidad para mi futuro laboral mediante el conocimiento adquirido durante el desarrollo del mismo
15/09/2022 8:34:51,Utilidad para el resto de las asignaturas o mi trabajo,"git y github, Python",Por mi cuenta o en prácticas,Tengo mucho interés en aprender sobre esta asignatura ya que me la han recomendado por ser muy útil y actual. Espero aprender bastante sobre git para aprender a gestionar mejor mis proyectos.
15/09/2022 8:35:45,"No la he elegido, es obligatoria, Utilidad para el resto de las asignaturas o mi trabajo",git y github,Por mi cuenta o en prácticas,Aprender el desarrollo de infraestructuras virtuales
15/09/2022 8:48:49,Me la han recomendado,"git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Ruby, Herramientas de construcción: make, grunt, webpack, sbt",En otras asignaturas,"Espero aprender sobre virtualización, infraestrutura virtual, en la nube, contenedores, docker..."
15/09/2022 8:50:28,"No la he elegido, es obligatoria",Ruby,En otras asignaturas,Aun no lo se
15/09/2022 8:52:04,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node.js/TypeScript/Deno, Uso de PaaS, tales como Heroku o Azure WebApps, Herramientas de construcción: make, grunt, webpack, sbt, Microservicios/microframeworks REST, Herramientas de integración continua/despliegue continuo, Desarrollo ágil",Por mi cuenta o en prácticas,"En las empresas y proyectos donde trabajo actualmente utilizo gitlab (cloud y on premise), y gitlab-runners para la integración continua. Aunque he hecho alguna prueba para proyectos personales, así como lo he utilizado para contribuir en la comunidad de algún proyecto, me gustaría aprender a utilizar todos estos conocimientos sobre github con github actions, etc."
15/09/2022 10:27:02,"No la he elegido, es obligatoria","Javascript/Node.js/TypeScript/Deno, Python, Ruby",En otras asignaturas,Espero aprender el funcionamiento que hay detrás de un proyecto y su desarrollo.
15/09/2022 10:27:53,"Profesor, Horario, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Herramientas de construcción: make, grunt, webpack, sbt",Por mi cuenta o en prácticas,"Buenas prácticas de desarrollo y trabajo colaborativo, desarrollo de software en la nube, ""DevOps"""
15/09/2022 10:27:58,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Javascript/Node.js/TypeScript/Deno, Python, Ruby, Herramientas de construcción: make, grunt, webpack, sbt",Por mi cuenta o en prácticas,"Lo que espero de esta asignatura es poder aprender principalmente sobre cómo realizar el desarrollo de una aplicación en la nube de forma rigurosa y con buenas prácticas, especialmente para mejorar las habilidades que ya tengo, y además, espero que me sirva como una cierta base a una de mis vocaciones, la seguridad informática."
15/09/2022 10:50:48,Horario,"Ruby, Herramientas de construcción: make, grunt, webpack, sbt",En otras asignaturas, 
15/09/2022 12:24:24,Utilidad para el resto de las asignaturas o mi trabajo,"git y github, Python, Ruby",En otras asignaturas,Potenciar mi conocimiento sobre Git y GitHub
15/09/2022 12:32:01,"No la he elegido, es obligatoria",Ruby,En otras asignaturas,Uso de git
15/09/2022 12:32:07,"No la he elegido, es obligatoria, Temática","Javascript/Node.js/TypeScript/Deno, Ruby",En otras asignaturas,Espero encontrarme una asignatura útil para mi formación y que sea entretenida de cursar
15/09/2022 12:32:18,Temática,Javascript/Node.js/TypeScript/Deno,Por mi cuenta o en prácticas,Saber enfrentarme a un problema real y poder resolverlo para estar más familiarizado ante estos problemas en la vida laboral.
15/09/2022 12:32:23,"Amigos o conocidos la han elegido, Temática","git y github, Python, Ruby",Por mi cuenta o en prácticas,Profundizar conocimientos sobre Docker y contenedores y aprender a desplegar aplicaciones a producción así como conocer mejor la estructura del desarrollo de una aplicación.
15/09/2022 12:32:28,"Temática, Utilidad para el resto de las asignaturas o mi trabajo","Javascript/Node.js/TypeScript/Deno, Python, Ruby",En otras asignaturas,"git, github y procesos de producción"
15/09/2022 12:35:02,"Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Python",En otras asignaturas,desarrollo y despliegue de un proyecto siguiendo buenas practicas
15/09/2022 12:38:01,"No la he elegido, es obligatoria","Python, Ruby",En otras asignaturas,"Algo que tenga utilidad y aplicación real en los futuros trabajos, no contenido de relleno"
15/09/2022 12:40:28,Horario,"git y github, Javascript/Node.js/TypeScript/Deno, Python, Ruby, Herramientas de construcción: make, grunt, webpack, sbt",En otras asignaturas,Aspectos relacionados con virtualización y servidores
15/09/2022 13:39:24,"No la he elegido, es obligatoria, Amigos o conocidos la han elegido","git y github, Python, Ruby",En otras asignaturas,Espero aprender más a fondo el uso de git y como se realizan los métodos de desarrollo ágil
15/09/2022 13:51:13,Horario,Ruby,En otras asignaturas,Tener una visión más extensa de los problemas existentes y de como afrontarlos
15/09/2022 23:14:51,"Amigos o conocidos la han elegido, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Javascript/Node.js/TypeScript/Deno, Python, Ruby",En otras asignaturas,Espero tener una asignatura en la que me ayude el tener conocimientos de git a la vez que aprendo cosas que probablemente me ayudarán en mi futuro trabajo
16/09/2022 9:36:14,"No la he elegido, es obligatoria",Ruby,En otras asignaturas,Todo lo que se pueda relacionado con el temario de la asignatura
16/09/2022 9:47:11,"Profesor, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo",git y github,En otras asignaturas,"Aprender a trabajar utilizando desarrollo ágil, manejar a la perfección git y github, y aprender a realizar test."
16/09/2022 9:52:24,"Profesor, Temática, Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Chef/ansible/docker u otras herramientas de gestión de configuraciones, Python, Herramientas de construcción: make, grunt, webpack, sbt",Por mi cuenta o en prácticas,"En la asignatura espero aprender fundamentos de DevOps, donde aparte de aprender a desarrollar las aplicaciones con buenas prácticas, podamos aprender a desplegarlas en la nube usando sus tecnologías con capacidad de escalar, mediante: Docker, Kubernetes como plataformas de servicios o Ansible y Terraform, como definición y provisionamiento de máquinas virtuales.

El enfoque tradicional del resto de asignaturas, es que programemos y los despleguemos en servicios básicos o medianamente avanzados como un balanceador de carga, montados manualmente a menudo. 

Pero eso no resuelve problemas que requieren escalar el sistema, como: Si mi DBMS tarda mucho en responder a una petición porque tiene muchas peticiones pendientes que responder. ¿Cómo puedo desplegar automáticamente un nodo más del DBMS que se comporte como cluster para que pueda reaccionar mejor?"
16/09/2022 10:11:07,"No la he elegido, es obligatoria, Horario, Amigos o conocidos la han elegido",Python,En otras asignaturas,"En principio, aprender a utilizar GitHub y demás infraestructuras virtuales."
2/10/2022 14:57:01,"Forma de impartirla, Utilidad para el resto de las asignaturas o mi trabajo","git y github, Desarrollo basado en test, Herramientas de integración continua/despliegue continuo, Desarrollo ágil",Por mi cuenta o en prácticas,"Aprender que se mueve por debajo de una infraestructura virtual, diseño y descripción de una aplicación, y despliegue y mantenimiento de la misma"