Objetivo;Estudiante;Entrega;Correccion;Incompleto
0;bb27c0383e9d06f515bcba7361e485a4;2021-09-22T17:56:43+02:00;2021-10-03T13:28:30+02:00;Completo
0;9e92e549a90287c7a1f08e3f999d4ec9;2021-09-17T12:20:14+02:00;2021-09-21T12:34:29+02:00;Completo
0;fb445c4d6b7cf24219d0e98d1a489409;2021-09-17T13:20:18+02:00;2021-09-21T00:08:30+02:00;Completo
0;c4499a62b18654020bf3563068114ebd;2021-09-17T09:47:38+02:00;2021-09-19T12:58:14+02:00;Completo
0;3bdee7678fe7fc5ddd75aa7bf8288bf7;2021-09-21T00:08:30+02:00;2021-09-24T20:25:38+02:00;Completo
0;199e904fca8132b8cc4b57185908e0ce;2021-09-23T13:04:20+02:00;2022-01-19T18:03:35+01:00;Incompleto
0;bfd382339323741bf2f0fdf8d447cb5c;2021-09-22T18:10:15+02:00;2021-10-14T13:51:35+02:00;Completo
0;c49f8b0fd12ff659bd8b33484b48f955;2021-09-19T20:50:57+02:00;2022-01-19T18:03:35+01:00;Incompleto
0;a9b14046cdb10d538916fb24f188b48e;2021-09-19T17:42:16+02:00;2021-09-21T12:34:29+02:00;Completo
0;6550a03e61ed7e35d2f3d7eedf7e140b;2021-09-22T12:27:12+00:00;2022-01-19T18:03:35+01:00;Incompleto
0;b1add6588cfc70f57f500cf87a0af389;2021-09-17T21:21:43+02:00;2021-09-19T08:27:19+02:00;Completo
0;b67fe0dda769857859f777991828bd18;2021-09-24T20:25:38+02:00;2021-10-14T13:51:35+02:00;Completo
0;0d04b61a523eeb5c6ca40b76269dd008;2021-09-17T09:46:00+02:00;2021-09-17T17:34:45+02:00;Completo
0;3c3edc31aeaf8a958c4271fce761bcfd;2021-09-18T10:43:27+02:00;2021-09-24T20:25:38+02:00;Completo
0;0eda21c5abaefdf0d573f6addde32ba1;2021-09-18T14:17:08+02:00;2021-09-24T20:01:05+02:00;Completo
0;371123959749cdeb43262a178f934ddc;2021-09-17T14:02:42+02:00;2021-10-02T09:21:13+02:00;Completo
0;687b799f3f2f4ba1e236f48e62262658;2021-09-16T15:57:53+02:00;2021-09-17T17:22:49+02:00;Completo
0;8936268a4314a8736aa5f612464e8e39;2021-09-24T20:25:38+02:00;2021-10-14T13:51:35+02:00;Completo
0;a17dce17734c47ab7ff50ae29896e9ac;2021-10-03T13:28:30+02:00;2021-10-14T13:51:35+02:00;Completo
0;d00ced9dda8dcebfc21ae7e0633f9179;2021-09-17T19:58:06+02:00;2021-09-17T20:03:54+02:00;Completo
0;e2e541d86071b488ccdad6afbc9d6532;2021-09-17T08:29:18+02:00;2021-09-21T00:08:30+02:00;Completo
0;1879e6ca710c36b06d7175fb49f86ab9;2021-09-17T14:21:12+02:00;2021-09-17T19:40:52+02:00;Completo
0;593fa923220c4e5c6cf3d10206a5b9ef;2021-09-12T12:38:38+02:00;2021-09-21T20:04:10+02:00;Completo
0;e395a8927b43b78803faca67f5fd4121;2021-10-01T07:23:02+02:00;2021-10-03T13:28:30+02:00;Completo
0;1e31fb8a2d6bc04df96efa2bd7a7b622;2021-09-23T13:05:45+02:00;2021-09-24T20:25:38+02:00;Completo
0;78e465d23ecd6003c4bd76cf46b4d51e;2021-10-03T13:28:30+02:00;2021-10-14T13:51:35+02:00;Completo
0;fc5eb03260c79dfc0f11a1b42db5ff79;2021-09-17T13:52:24+02:00;2021-09-23T14:14:39+02:00;Completo
0;dbbe9402eb009f934b37b13c8f3fe163;2021-09-17T19:45:44+02:00;2021-09-19T12:32:40+02:00;Completo
0;30cab910cb833a6a87cc96fa7793c6d2;2021-09-18T11:54:53+02:00;2021-09-22T13:01:41+02:00;Completo
0;36023a78f4c20ea9f15d41db0cd1ab8a;2021-09-18T16:41:22+02:00;2021-09-19T08:27:19+02:00;Completo
0;7311ff7e2b925d360243f5f99314aafc;2021-09-17T19:40:52+02:00;2021-09-17T19:48:02+02:00;Completo
0;a85d113736515e96f071000b4910d35d;2021-09-16T12:41:34+02:00;2021-09-17T07:26:42+02:00;Completo
0;6d52e82a56a2af982f24ada041721e85;2021-09-17T19:40:52+02:00;2021-09-19T08:27:19+02:00;Completo
0;ecf3e3582c216e63b109549c85371cef;2021-09-16T20:07:40+02:00;2021-09-17T17:22:49+02:00;Completo
0;b4505d9ddf0c3ea6f6a55922e348cf1b;2021-09-24T17:39:42+02:00;2021-09-24T20:25:38+02:00;Completo
0;b7cbea2d4891b6427d08d199c3952481;2021-09-17T13:53:51+02:00;2021-09-17T19:48:02+02:00;Completo
0;eb92ea940a82f77c511801ac99c2dcc3;2021-09-21T00:08:30+02:00;2021-10-03T13:28:30+02:00;Completo
0;9fa5c0a57a38980085745391d737ba94;2021-09-24T20:25:38+02:00;2021-10-02T09:52:18+02:00;Completo
0;a943c8fb20521b54d0e8909828f2d81d;2021-09-21T17:55:39+02:00;2021-09-22T13:11:54+02:00;Completo
0;95cffa89c5009ade28e1ab788379f6f4;2021-09-19T16:46:00+02:00;2021-09-20T17:57:20+02:00;Completo
0;c3574537c1172050f85ac1ebe4c9febb;2021-09-17T19:43:23+02:00;2021-09-17T20:09:52+02:00;Completo
0;0427b5a8a997665e724da742df9520a3;2021-09-24T20:26:41+02:00;2021-10-04T18:24:56+02:00;Completo
0;9662c55436cc15b3ad8ac3b23e259a1d;2021-09-24T17:38:03+02:00;2021-09-24T20:25:38+02:00;Completo
0;d2626683dd32562e860a2d56c9aaed54;2021-10-03T13:06:08+02:00;2021-10-03T13:22:51+02:00;Completo
0;52560e05167f3c95d69ae9f8f60a0c71;2021-09-17T13:47:27+02:00;2021-09-17T19:49:11+02:00;Completo
0;ebeaba5144fd295d51ed2854a4df8d44;2021-09-17T17:43:39+02:00;2021-10-03T13:28:30+02:00;Completo
0;fd34cbd5fddc181e8ac9423a27104b55;2021-09-17T13:39:23+02:00;2021-09-17T17:39:10+02:00;Completo
1;3bdee7678fe7fc5ddd75aa7bf8288bf7;2021-10-03T19:29:33+02:00;2021-10-17T13:55:32+02:00;Completo
1;a9b14046cdb10d538916fb24f188b48e;2021-09-26T20:12:58+02:00;2021-09-28T17:07:54+02:00;Completo
1;a85d113736515e96f071000b4910d35d;2021-09-27T11:48:21+02:00;2021-09-30T20:33:26+02:00;Completo
1;a17dce17734c47ab7ff50ae29896e9ac;2021-10-03T17:24:49+02:00;2021-10-07T14:27:08+02:00;Completo
1;fd34cbd5fddc181e8ac9423a27104b55;2021-09-24T17:39:28+02:00;2021-09-30T07:46:19+02:00;Completo
1;30cab910cb833a6a87cc96fa7793c6d2;2021-09-29T15:44:20+02:00;2021-10-07T13:15:47+02:00;Completo
1;9e92e549a90287c7a1f08e3f999d4ec9;2021-10-04T15:10:20+02:00;2021-10-07T13:27:04+02:00;Completo
1;8c5bd4520f2d4a0336cf3eaa4a728f6c;2021-10-04T17:26:59+02:00;2021-11-11T20:51:00+01:00;Completo
1;b1add6588cfc70f57f500cf87a0af389;2021-09-26T20:14:04+02:00;2021-10-04T10:26:12+02:00;Completo
1;0427b5a8a997665e724da742df9520a3;2021-11-16T12:05:23+01:00;2021-11-16T12:08:13+01:00;Completo
1;3c3edc31aeaf8a958c4271fce761bcfd;2021-09-30T15:15:50+02:00;2021-10-16T10:26:19+02:00;Completo
1;0eda21c5abaefdf0d573f6addde32ba1;2021-10-11T18:50:48+02:00;2021-10-26T20:42:17+02:00;Completo
1;1add487fb554e1fe4ac1a889d209ed32;2021-10-11T18:50:48+02:00;2021-10-22T20:02:44+02:00;Completo
1;593fa923220c4e5c6cf3d10206a5b9ef;2021-08-31T12:13:32+02:00;2021-10-07T17:18:09+02:00;Completo
1;d00ced9dda8dcebfc21ae7e0633f9179;2021-10-07T07:24:53+02:00;2021-10-19T08:39:16+02:00;Completo
1;ebeaba5144fd295d51ed2854a4df8d44;2021-09-25T11:31:54+02:00;2021-09-28T16:02:46+02:00;Completo
1;9fa5c0a57a38980085745391d737ba94;2021-09-24T10:11:23+02:00;2021-11-12T10:12:13+01:00;Completo
1;0d04b61a523eeb5c6ca40b76269dd008;2021-09-24T20:07:11+02:00;2021-09-25T10:26:19+02:00;Completo
1;bb27c0383e9d06f515bcba7361e485a4;2021-09-30T07:19:21+02:00;2021-10-27T17:24:40+02:00;Completo
1;36023a78f4c20ea9f15d41db0cd1ab8a;2021-09-27T19:33:46+02:00;2021-10-06T12:40:34+02:00;Completo
1;c4499a62b18654020bf3563068114ebd;2021-09-24T17:39:17+02:00;2021-10-02T17:38:29+02:00;Completo
1;b4505d9ddf0c3ea6f6a55922e348cf1b;2021-09-25T20:55:52+02:00;2021-10-07T14:12:08+02:00;Completo
1;95cffa89c5009ade28e1ab788379f6f4;2021-09-27T18:58:47+02:00;2021-10-02T09:21:13+02:00;Completo
1;dbbe9402eb009f934b37b13c8f3fe163;2021-09-25T19:16:05+02:00;2021-09-29T07:40:27+02:00;Completo
1;e2e541d86071b488ccdad6afbc9d6532;2021-10-08T17:12:20+02:00;2021-10-10T09:33:19+02:00;Completo
1;d2626683dd32562e860a2d56c9aaed54;2021-10-22T20:12:23+02:00;2021-10-25T20:52:41+02:00;Completo
1;52560e05167f3c95d69ae9f8f60a0c71;2021-10-01T12:07:50+02:00;2021-10-04T10:26:12+02:00;Completo
1;ecf3e3582c216e63b109549c85371cef;2021-09-24T07:16:17+02:00;2021-09-29T07:40:27+02:00;Completo
1;b67fe0dda769857859f777991828bd18;2021-10-09T18:01:06+02:00;2021-10-09T18:11:42+02:00;Completo
1;c49f8b0fd12ff659bd8b33484b48f955;2021-10-21T07:06:01+02:00;2021-11-11T20:51:00+01:00;Completo
1;9662c55436cc15b3ad8ac3b23e259a1d;2021-10-05T20:33:23+02:00;2021-10-09T18:23:42+02:00;Completo
1;fb445c4d6b7cf24219d0e98d1a489409;2021-09-25T19:16:22+02:00;2021-09-30T20:33:26+02:00;Completo
1;1879e6ca710c36b06d7175fb49f86ab9;2021-09-27T14:26:55+02:00;2021-10-04T17:47:39+02:00;Completo
1;7311ff7e2b925d360243f5f99314aafc;2021-09-29T15:43:55+02:00;2021-10-22T20:02:44+02:00;Completo
1;6d52e82a56a2af982f24ada041721e85;2021-09-24T17:38:56+02:00;2021-09-29T07:40:27+02:00;Completo
1;371123959749cdeb43262a178f934ddc;2021-10-07T07:24:29+02:00;2021-10-07T17:03:09+02:00;Completo
1;6550a03e61ed7e35d2f3d7eedf7e140b;2021-10-06T16:47:36+02:00;2021-10-15T09:54:22+02:00;Completo
1;c3574537c1172050f85ac1ebe4c9febb;2021-09-26T17:44:05+02:00;2021-10-04T10:26:12+02:00;Completo
2;0427b5a8a997665e724da742df9520a3;2021-12-10T10:25:58+01:00;2021-12-12T10:47:14+01:00;Completo
2;fd34cbd5fddc181e8ac9423a27104b55;2021-10-09T10:25:43+02:00;2021-10-16T10:57:05+02:00;Completo
2;593fa923220c4e5c6cf3d10206a5b9ef;2021-10-17T18:59:47+02:00;2021-10-21T07:37:26+02:00;Completo
2;95cffa89c5009ade28e1ab788379f6f4;2021-10-09T19:41:55+02:00;2022-01-08T20:06:41+01:00;Incompleto
2;36023a78f4c20ea9f15d41db0cd1ab8a;2021-10-19T20:57:47+02:00;2021-10-22T14:00:07+02:00;Completo
2;9662c55436cc15b3ad8ac3b23e259a1d;2021-10-19T09:27:19+02:00;2021-10-27T08:41:21+02:00;Completo
2;6550a03e61ed7e35d2f3d7eedf7e140b;2021-10-27T12:08:34+02:00;2021-10-27T12:10:49+02:00;Completo
2;a9b14046cdb10d538916fb24f188b48e;2021-10-09T18:00:21+02:00;2021-10-14T07:35:28+02:00;Completo
2;dbbe9402eb009f934b37b13c8f3fe163;2021-10-09T18:00:55+02:00;2022-01-25T07:39:29+01:00;Incompleto
2;7311ff7e2b925d360243f5f99314aafc;2021-11-05T09:21:35+01:00;2021-11-05T11:30:57+01:00;Completo
2;52560e05167f3c95d69ae9f8f60a0c71;2021-11-15T19:43:34+01:00;2021-11-19T07:46:57+01:00;Completo
2;a85d113736515e96f071000b4910d35d;2021-10-22T20:05:49+02:00;2021-10-27T08:41:21+02:00;Completo
2;d00ced9dda8dcebfc21ae7e0633f9179;2021-11-05T10:08:52+01:00;2021-11-11T20:51:00+01:00;Completo
2;30cab910cb833a6a87cc96fa7793c6d2;2021-10-21T07:06:19+02:00;2021-11-11T20:51:00+01:00;Completo
2;b4505d9ddf0c3ea6f6a55922e348cf1b;2021-10-16T12:44:33+02:00;2021-10-20T14:07:34+02:00;Completo
2;0d04b61a523eeb5c6ca40b76269dd008;2021-10-14T11:53:04+02:00;2021-10-15T10:14:38+02:00;Completo
2;78e465d23ecd6003c4bd76cf46b4d51e;2021-11-14T13:50:41+01:00;2021-11-26T07:18:20+01:00;Completo
2;3bdee7678fe7fc5ddd75aa7bf8288bf7;2021-11-01T18:49:09+01:00;2021-11-11T20:51:00+01:00;Completo
2;b1add6588cfc70f57f500cf87a0af389;2021-10-17T10:06:32+02:00;2021-10-20T08:18:07+02:00;Completo
2;1879e6ca710c36b06d7175fb49f86ab9;2021-10-10T14:13:51+02:00;2021-10-14T14:46:24+02:00;Completo
2;b67fe0dda769857859f777991828bd18;2021-10-28T07:14:06+02:00;2021-11-28T12:05:31+01:00;Completo
2;0eda21c5abaefdf0d573f6addde32ba1;2021-11-10T19:13:40+01:00;2021-11-18T10:18:21+01:00;Completo
2;fb445c4d6b7cf24219d0e98d1a489409;2021-10-12T18:05:42+02:00;2021-10-16T11:21:29+02:00;Completo
2;6d52e82a56a2af982f24ada041721e85;2021-10-10T19:20:39+02:00;2021-10-12T20:25:18+02:00;Completo
2;ecf3e3582c216e63b109549c85371cef;2021-10-10T19:22:10+02:00;2021-10-20T08:23:54+02:00;Completo
2;d2626683dd32562e860a2d56c9aaed54;2021-11-15T18:36:42+01:00;2021-11-26T14:11:39+01:00;Completo
2;1add487fb554e1fe4ac1a889d209ed32;2021-11-12T09:50:08+01:00;2021-11-12T11:58:46+01:00;Completo
2;8936268a4314a8736aa5f612464e8e39;2021-11-14T13:50:41+01:00;2021-11-22T18:34:43+01:00;Completo
2;9fa5c0a57a38980085745391d737ba94;2021-12-09T20:44:56+01:00;2021-12-09T20:45:38+01:00;Completo
2;ebeaba5144fd295d51ed2854a4df8d44;2021-10-09T10:22:45+02:00;2021-10-14T07:35:28+02:00;Completo
2;3c3edc31aeaf8a958c4271fce761bcfd;2021-12-23T19:41:34+01:00;2021-12-23T19:43:29+01:00;Completo
2;a17dce17734c47ab7ff50ae29896e9ac;2021-10-25T17:14:20+02:00;2021-11-21T10:40:29+01:00;Completo
2;371123959749cdeb43262a178f934ddc;2021-10-20T07:20:42+02:00;2021-10-24T09:25:58+02:00;Completo
2;c4499a62b18654020bf3563068114ebd;2021-10-09T10:26:20+02:00;2021-10-13T08:19:13+02:00;Completo
2;9e92e549a90287c7a1f08e3f999d4ec9;2021-11-17T20:42:30+01:00;2022-01-25T07:39:29+01:00;Incompleto
2;c3574537c1172050f85ac1ebe4c9febb;2021-10-11T14:30:49+02:00;2021-10-17T09:21:40+02:00;Completo
2;e2e541d86071b488ccdad6afbc9d6532;2021-11-03T14:47:23+01:00;2021-11-13T19:46:41+01:00;Completo
2;bb27c0383e9d06f515bcba7361e485a4;2021-11-02T17:56:06+01:00;2021-11-14T13:50:41+01:00;Completo
2;8c5bd4520f2d4a0336cf3eaa4a728f6c;2021-12-10T13:46:15+01:00;2022-01-19T18:03:35+01:00;Incompleto
3;0d04b61a523eeb5c6ca40b76269dd008;2021-10-22T20:04:15+02:00;2021-10-23T11:57:19+02:00;Completo
3;1879e6ca710c36b06d7175fb49f86ab9;2021-10-20T22:03:34+02:00;2021-10-22T20:02:44+02:00;Completo
3;fd34cbd5fddc181e8ac9423a27104b55;2021-10-22T06:59:26+02:00;2021-10-23T11:57:19+02:00;Completo
3;a17dce17734c47ab7ff50ae29896e9ac;2021-11-15T18:36:54+01:00;2022-01-19T18:58:10+01:00;Incompleto
3;d2626683dd32562e860a2d56c9aaed54;2021-11-26T19:40:49+01:00;2021-11-28T20:00:02+01:00;Completo
3;9fa5c0a57a38980085745391d737ba94;2021-12-10T11:49:39+01:00;2021-12-10T12:10:23+01:00;Completo
3;fb445c4d6b7cf24219d0e98d1a489409;2021-10-21T18:02:31+02:00;2021-10-23T11:57:19+02:00;Completo
3;b1add6588cfc70f57f500cf87a0af389;2021-10-25T12:40:53+02:00;2021-10-25T12:44:40+02:00;Completo
3;371123959749cdeb43262a178f934ddc;2021-10-24T18:40:09+02:00;2021-10-25T12:42:17+02:00;Completo
